Date;AveragePrice;Large Bags;year;region
2015-02-08;0.99;508.44;2015;Albany
2015-02-01;0.99;152.36;2015;Albany
2015-01-25;1.06;742.47;2015;Albany
2015-01-18;1.17;269.96;2015;Albany
2015-01-11;1.24;388.73;2015;Albany
2015-01-04;1.22;529.53;2015;Albany
2015-12-27;0.99;17748.36;2015;Atlanta
2015-12-20;1.08;11867.61;2015;Atlanta
2015-12-13;0.96;22628.21;2015;Atlanta
2015-12-06;1.07;13654.66;2015;Atlanta
2015-11-29;0.99;20738.55;2015;Atlanta
2015-11-22;1;19389.78;2015;Atlanta
2015-11-15;1.13;13390.06;2015;Atlanta
2015-11-08;1.12;12941.12;2015;Atlanta
2015-11-01;0.99;25929.39;2015;Atlanta
2015-10-25;1.09;24924.58;2015;Atlanta
2015-10-18;1.09;23454.84;2015;Atlanta
2015-10-11;0.95;45134.15;2015;Atlanta
2015-10-04;0.96;44584.77;2015;Atlanta
2015-09-27;1.07;25125.65;2015;Atlanta
2015-09-20;0.93;52442.25;2015;Atlanta
2015-09-13;1.07;29678.76;2015;Atlanta
2015-09-06;0.97;44549.67;2015;Atlanta
2015-08-30;1.15;14112.5;2015;Atlanta
2015-08-23;1.12;11883.98;2015;Atlanta
2015-08-16;1.09;14148.65;2015;Atlanta
2015-08-09;1.01;21568.48;2015;Atlanta
2015-08-02;1.15;11720.3;2015;Atlanta
2015-07-26;1.08;12096.44;2015;Atlanta
2015-07-19;0.97;16192.5;2015;Atlanta
2015-07-12;1.14;12280.26;2015;Atlanta
2015-07-05;1.01;19851;2015;Atlanta
2015-06-28;1.13;13108.03;2015;Atlanta
2015-06-21;0.99;19010.81;2015;Atlanta
2015-06-14;1.1;12578.28;2015;Atlanta
2015-06-07;0.99;21329.99;2015;Atlanta
2015-05-31;1.1;11199.95;2015;Atlanta
2015-05-24;0.96;22651.15;2015;Atlanta
2015-05-17;1.11;11682.09;2015;Atlanta
2015-05-10;1.1;12559.82;2015;Atlanta
2015-05-03;1;33660.81;2015;Atlanta
2015-04-26;1.12;10196.55;2015;Atlanta
2015-04-19;1.12;13680.88;2015;Atlanta
2015-04-12;0.99;25051.25;2015;Atlanta
2015-04-05;1.04;16289.92;2015;Atlanta
2015-03-29;1.11;14466.33;2015;Atlanta
2015-03-22;1;21766.54;2015;Atlanta
2015-03-15;1.12;11625.94;2015;Atlanta
2015-03-08;1.1;9394.09;2015;Atlanta
2015-03-01;0.99;17273.38;2015;Atlanta
2015-02-22;1.1;10006.3;2015;Atlanta
2015-02-15;1.06;18158.26;2015;Atlanta
2015-02-08;1.03;20895.77;2015;Atlanta
2015-02-01;0.96;41140.76;2015;Atlanta
2015-01-25;1.1;23435.77;2015;Atlanta
2015-01-18;1.11;23257.77;2015;Atlanta
2015-01-11;1.11;25728.47;2015;Atlanta
2015-01-04;1;30108.64;2015;Atlanta
2015-12-27;1.17;2367.22;2015;BaltimoreWashington
2015-12-20;1.11;2486.16;2015;BaltimoreWashington
2015-12-13;1.15;1895.88;2015;BaltimoreWashington
2015-12-06;1.04;1552.2;2015;BaltimoreWashington
2015-11-29;1.16;1852.33;2015;BaltimoreWashington
2015-11-22;1.12;2663.12;2015;BaltimoreWashington
2015-11-15;1.04;4462.69;2015;BaltimoreWashington
2015-11-08;1.05;6062.58;2015;BaltimoreWashington
2015-11-01;1.12;5209.3;2015;BaltimoreWashington
2015-10-25;1.19;6141.14;2015;BaltimoreWashington
2015-10-18;0.99;5504.62;2015;BaltimoreWashington
2015-10-11;1.24;4685.41;2015;BaltimoreWashington
2015-10-04;1.28;4739.41;2015;BaltimoreWashington
2015-09-27;1.19;5100.31;2015;BaltimoreWashington
2015-09-20;1.17;5139.84;2015;BaltimoreWashington
2015-09-13;1.09;5813.54;2015;BaltimoreWashington
2015-09-06;1.18;3268.72;2015;BaltimoreWashington
2015-08-30;1.24;3158.9;2015;BaltimoreWashington
2015-08-23;1.16;3060.44;2015;BaltimoreWashington
2015-08-16;1.14;2796.82;2015;BaltimoreWashington
2015-08-09;1.16;3298.08;2015;BaltimoreWashington
2015-08-02;1.17;3061.24;2015;BaltimoreWashington
2015-07-26;1.2;3880.04;2015;BaltimoreWashington
2015-07-19;1.18;3862.02;2015;BaltimoreWashington
2015-07-12;1.1;4406.05;2015;BaltimoreWashington
2015-07-05;1.16;5890.57;2015;BaltimoreWashington
2015-06-28;1.15;4022.51;2015;BaltimoreWashington
2015-06-21;1.16;3488.37;2015;BaltimoreWashington
2015-06-14;1.09;3668.3;2015;BaltimoreWashington
2015-06-07;1.26;3626.41;2015;BaltimoreWashington
2015-05-31;1.19;5730.22;2015;BaltimoreWashington
2015-05-24;1.18;5548.94;2015;BaltimoreWashington
2015-05-17;1.27;5152.19;2015;BaltimoreWashington
2015-05-10;1.26;8947.03;2015;BaltimoreWashington
2015-05-03;1.17;7767.45;2015;BaltimoreWashington
2015-04-26;1.29;6184.29;2015;BaltimoreWashington
2015-04-19;1.28;5741.41;2015;BaltimoreWashington
2015-04-12;1.15;5315.67;2015;BaltimoreWashington
2015-04-05;1.29;6357.06;2015;BaltimoreWashington
2015-03-29;1.25;4804.54;2015;BaltimoreWashington
2015-03-22;1.1;4685.67;2015;BaltimoreWashington
2015-03-15;1.24;4733.86;2015;BaltimoreWashington
2015-03-08;1.26;4147.77;2015;BaltimoreWashington
2015-03-01;1.16;3736.87;2015;BaltimoreWashington
2015-02-22;1.11;3785.58;2015;BaltimoreWashington
2015-02-15;1.25;5125.31;2015;BaltimoreWashington
2015-02-08;1.09;5161.57;2015;BaltimoreWashington
2015-02-01;1.06;4672.49;2015;BaltimoreWashington
2015-01-25;1.2;7588.83;2015;BaltimoreWashington
2015-01-18;1.23;4467.62;2015;BaltimoreWashington
2015-01-11;1.17;4075.65;2015;BaltimoreWashington
2015-01-04;1.08;3990.61;2015;BaltimoreWashington
2015-12-27;0.97;5.69;2015;Boise
2015-12-20;1.03;11.43;2015;Boise
2015-12-13;0.99;4.44;2015;Boise
2015-12-06;0.71;0;2015;Boise
2015-11-29;1.06;0;2015;Boise
2015-11-22;1.09;4.32;2015;Boise
2015-11-15;1.01;8.65;2015;Boise
2015-11-08;1.11;119.79;2015;Boise
2015-11-01;1.14;0;2015;Boise
2015-10-25;1.11;0;2015;Boise
2015-10-18;1.16;0;2015;Boise
2015-10-11;0.94;185.46;2015;Boise
2015-10-04;1.12;504.65;2015;Boise
2015-09-27;0.99;160;2015;Boise
2015-09-20;1.03;273.41;2015;Boise
2015-09-13;1.08;0;2015;Boise
2015-09-06;1.16;0;2015;Boise
2015-08-30;1.19;0;2015;Boise
2015-08-23;1.05;0;2015;Boise
2015-08-16;1.12;0;2015;Boise
2015-08-09;1.1;13.33;2015;Boise
2015-08-02;1.07;48.89;2015;Boise
2015-07-26;1.07;153.81;2015;Boise
2015-07-19;1.09;816.52;2015;Boise
2015-07-12;1.05;1236.88;2015;Boise
2015-07-05;1.15;80.55;2015;Boise
2015-06-28;1.04;0;2015;Boise
2015-06-21;1.06;0;2015;Boise
2015-06-14;0.99;0;2015;Boise
2015-06-07;1.12;8.76;2015;Boise
2015-05-31;0.97;5.84;2015;Boise
2015-05-24;1.03;0;2015;Boise
2015-05-17;0.96;0;2015;Boise
2015-05-10;1.06;0;2015;Boise
2015-05-03;1;0;2015;Boise
2015-04-26;0.96;0;2015;Boise
2015-04-19;0.99;0;2015;Boise
2015-04-12;1.19;0;2015;Boise
2015-04-05;1.09;0;2015;Boise
2015-03-29;0.98;0;2015;Boise
2015-03-22;1.17;0;2015;Boise
2015-03-15;1;0;2015;Boise
2015-03-08;1.14;0;2015;Boise
2015-03-01;1.06;759.23;2015;Boise
2015-02-22;0.99;232.07;2015;Boise
2015-02-15;1.14;1693.34;2015;Boise
2015-02-08;1.07;1673.75;2015;Boise
2015-02-01;0.91;1777.58;2015;Boise
2015-01-25;1.03;2520.51;2015;Boise
2015-01-18;1.08;2796.76;2015;Boise
2015-01-11;1.18;1628.64;2015;Boise
2015-01-04;1.01;1691.32;2015;Boise
2015-12-27;1.13;99.26;2015;Boston
2015-12-20;1.07;133.33;2015;Boston
2015-12-13;1.01;199.58;2015;Boston
2015-12-06;1.02;223.56;2015;Boston
2015-11-29;1.19;261.1;2015;Boston
2015-11-22;1.07;486.35;2015;Boston
2015-11-15;1.05;1747.96;2015;Boston
2015-11-08;1.04;5077.57;2015;Boston
2015-11-01;1.06;5064.84;2015;Boston
2015-10-25;1.02;4745.05;2015;Boston
2015-10-18;0.94;5003.33;2015;Boston
2015-10-11;1.14;4396.66;2015;Boston
2015-10-04;1.07;5831.48;2015;Boston
2015-09-27;1.07;2603.34;2015;Boston
2015-09-20;1.15;3558.89;2015;Boston
2015-09-13;1.03;4271.11;2015;Boston
2015-09-06;1.11;614.44;2015;Boston
2015-08-30;1.13;188.89;2015;Boston
2015-08-23;1.07;241.12;2015;Boston
2015-08-16;1.15;222.22;2015;Boston
2015-08-09;1.07;231.1;2015;Boston
2015-08-02;1.17;294.44;2015;Boston
2015-07-26;1.28;228.08;2015;Boston
2015-07-19;1.18;227.47;2015;Boston
2015-07-12;1.14;1236.05;2015;Boston
2015-07-05;1.27;2878.43;2015;Boston
2015-06-28;1.25;881.11;2015;Boston
2015-06-21;1.24;293.33;2015;Boston
2015-06-14;1.08;183.33;2015;Boston
2015-06-07;1.25;183.34;2015;Boston
2015-05-31;1.26;303.32;2015;Boston
2015-05-24;1.14;388.43;2015;Boston
2015-05-17;1.26;1858.4;2015;Boston
2015-05-10;1.14;2688.22;2015;Boston
2015-05-03;1.17;3565.39;2015;Boston
2015-04-26;1.28;2533.7;2015;Boston
2015-04-19;1.15;1000.55;2015;Boston
2015-04-12;1.26;1994.62;2015;Boston
2015-04-05;1.27;1948.64;2015;Boston
2015-03-29;1.19;1723.17;2015;Boston
2015-03-22;1.18;460.01;2015;Boston
2015-03-15;1.25;624.45;2015;Boston
2015-03-08;1.17;575.56;2015;Boston
2015-03-01;1.11;439.76;2015;Boston
2015-02-22;1.23;217.78;2015;Boston
2015-02-15;1.2;555.55;2015;Boston
2015-02-08;1.04;813.34;2015;Boston
2015-02-01;1.22;313.46;2015;Boston
2015-01-25;1.17;934.11;2015;Boston
2015-01-18;1.23;367.78;2015;Boston
2015-01-11;1.1;331.73;2015;Boston
2015-01-04;1.02;256.29;2015;Boston
2015-12-27;1.35;0;2015;BuffaloRochester
2015-12-20;1.37;0;2015;BuffaloRochester
2015-12-13;1.35;0;2015;BuffaloRochester
2015-12-06;1.23;0;2015;BuffaloRochester
2015-11-29;1.39;0;2015;BuffaloRochester
2015-11-22;1.4;0;2015;BuffaloRochester
2015-11-15;1.36;742.22;2015;BuffaloRochester
2015-11-08;1.3;1302.22;2015;BuffaloRochester
2015-11-01;1.23;1342.22;2015;BuffaloRochester
2015-10-25;1.36;1902.22;2015;BuffaloRochester
2015-10-18;1.29;1160;2015;BuffaloRochester
2015-10-11;1.3;1195.56;2015;BuffaloRochester
2015-10-04;1.33;1284.44;2015;BuffaloRochester
2015-09-27;1.31;671.11;2015;BuffaloRochester
2015-09-20;1.54;821.11;2015;BuffaloRochester
2015-09-13;1.59;445.56;2015;BuffaloRochester
2015-09-06;1.56;13.33;2015;BuffaloRochester
2015-08-30;1.38;0;2015;BuffaloRochester
2015-08-23;1.49;0;2015;BuffaloRochester
2015-08-16;1.5;0;2015;BuffaloRochester
2015-08-09;1.47;0;2015;BuffaloRochester
2015-08-02;1.47;0;2015;BuffaloRochester
2015-07-26;1.39;0;2015;BuffaloRochester
2015-07-19;1.36;0;2015;BuffaloRochester
2015-07-12;1.45;426.67;2015;BuffaloRochester
2015-07-05;1.47;906.67;2015;BuffaloRochester
2015-06-28;1.36;62.22;2015;BuffaloRochester
2015-06-21;1.5;0;2015;BuffaloRochester
2015-06-14;1.34;0;2015;BuffaloRochester
2015-06-07;1.38;0;2015;BuffaloRochester
2015-05-31;1.4;0;2015;BuffaloRochester
2015-05-24;1.43;44.44;2015;BuffaloRochester
2015-05-17;1.35;977.78;2015;BuffaloRochester
2015-05-10;1.33;453.33;2015;BuffaloRochester
2015-05-03;1.42;1102.22;2015;BuffaloRochester
2015-04-26;1.41;640;2015;BuffaloRochester
2015-04-19;1.42;519.86;2015;BuffaloRochester
2015-04-12;1.42;813.75;2015;BuffaloRochester
2015-04-05;1.44;597.92;2015;BuffaloRochester
2015-03-29;1.39;108.47;2015;BuffaloRochester
2015-03-22;1.4;55.56;2015;BuffaloRochester
2015-03-15;1.47;111.11;2015;BuffaloRochester
2015-03-08;1.35;360;2015;BuffaloRochester
2015-03-01;1.43;62.22;2015;BuffaloRochester
2015-02-22;1.41;546.67;2015;BuffaloRochester
2015-02-15;1.44;124.44;2015;BuffaloRochester
2015-02-08;1.36;595.56;2015;BuffaloRochester
2015-02-01;1.33;71.11;2015;BuffaloRochester
2015-01-25;1.5;740;2015;BuffaloRochester
2015-01-18;1.52;2.22;2015;BuffaloRochester
2015-01-11;1.54;0;2015;BuffaloRochester
2015-01-04;1.4;0;2015;BuffaloRochester
2015-12-27;0.9;110737.35;2015;California
2015-12-20;0.94;136747.1;2015;California
2015-12-13;0.87;180150.37;2015;California
2015-12-06;0.78;126664.37;2015;California
2015-11-29;0.91;82338.39;2015;California
2015-11-22;0.92;82444.32;2015;California
2015-11-15;0.83;53797.92;2015;California
2015-11-08;0.98;36305.96;2015;California
2015-11-01;0.95;19804.69;2015;California
2015-10-25;1.12;7596.27;2015;California
2015-10-18;1.07;10780.32;2015;California
2015-10-11;1.08;18373.18;2015;California
2015-10-04;1.02;25572.26;2015;California
2015-09-27;1.04;13336.34;2015;California
2015-09-20;1.14;17303.91;2015;California
2015-09-13;1.13;76297.56;2015;California
2015-09-06;1.09;33545.37;2015;California
2015-08-30;1.08;5989.25;2015;California
2015-08-23;1.18;6573.5;2015;California
2015-08-16;1.11;2081.96;2015;California
2015-08-09;1.1;7356.84;2015;California
2015-08-02;1.16;4953.57;2015;California
2015-07-26;1.13;5181.16;2015;California
2015-07-19;1.18;20673.8;2015;California
2015-07-12;1.13;18032.41;2015;California
2015-07-05;1.12;27317.19;2015;California
2015-06-28;1.1;21861.54;2015;California
2015-06-21;1.07;24277.53;2015;California
2015-06-14;0.97;22961.19;2015;California
2015-06-07;0.98;23422.39;2015;California
2015-05-31;0.98;23083.08;2015;California
2015-05-24;1.1;24485.84;2015;California
2015-05-17;1.08;18497.03;2015;California
2015-05-10;0.93;18366.27;2015;California
2015-05-03;0.88;19735.89;2015;California
2015-04-26;1.15;26483.99;2015;California
2015-04-19;1.05;71988.59;2015;California
2015-04-12;1.06;79865.3;2015;California
2015-04-05;1.12;59212.09;2015;California
2015-03-29;1.1;61958.73;2015;California
2015-03-22;1.06;30058.97;2015;California
2015-03-15;1.06;27625.15;2015;California
2015-03-08;0.96;27241.05;2015;California
2015-03-01;0.84;34845.51;2015;California
2015-02-22;0.96;36940.51;2015;California
2015-02-15;0.96;47017.93;2015;California
2015-02-08;0.91;56311.08;2015;California
2015-02-01;0.85;41203.2;2015;California
2015-01-25;1.06;46809.48;2015;California
2015-01-18;1.02;36501.18;2015;California
2015-01-11;0.92;31874.03;2015;California
2015-01-04;0.93;47882.56;2015;California
2015-12-27;0.96;2499.62;2015;Charlotte
2015-12-20;0.98;1781.51;2015;Charlotte
2015-12-13;0.95;3238.51;2015;Charlotte
2015-12-06;0.99;2257.34;2015;Charlotte
2015-11-29;0.95;3415.11;2015;Charlotte
2015-11-22;1;3494.62;2015;Charlotte
2015-11-15;1.01;2500.12;2015;Charlotte
2015-11-08;1.03;1647;2015;Charlotte
2015-11-01;1.11;4525.69;2015;Charlotte
2015-10-25;1.27;4368.18;2015;Charlotte
2015-10-18;1.26;3358.11;2015;Charlotte
2015-10-11;1.14;6692.82;2015;Charlotte
2015-10-04;1.22;7661.96;2015;Charlotte
2015-09-27;1.09;4567.36;2015;Charlotte
2015-09-20;1.2;8412.98;2015;Charlotte
2015-09-13;1.19;5958.07;2015;Charlotte
2015-09-06;1.01;6844.16;2015;Charlotte
2015-08-30;1.2;2312.59;2015;Charlotte
2015-08-23;1.15;2018.44;2015;Charlotte
2015-08-16;1.24;2216.34;2015;Charlotte
2015-08-09;1.21;3963.07;2015;Charlotte
2015-08-02;1.24;2072.24;2015;Charlotte
2015-07-26;1.23;2073.42;2015;Charlotte
2015-07-19;1.19;3134.64;2015;Charlotte
2015-07-12;1.18;2170.33;2015;Charlotte
2015-07-05;1.18;3377.89;2015;Charlotte
2015-06-28;1.17;1764.53;2015;Charlotte
2015-06-21;1.17;3622.34;2015;Charlotte
2015-06-14;1.15;1981.83;2015;Charlotte
2015-06-07;1.15;3526.99;2015;Charlotte
2015-05-31;1.19;2162.28;2015;Charlotte
2015-05-24;1.2;4013.7;2015;Charlotte
2015-05-17;1.21;2202.85;2015;Charlotte
2015-05-10;1.19;2147.08;2015;Charlotte
2015-05-03;1;5588.51;2015;Charlotte
2015-04-26;1.2;1201.18;2015;Charlotte
2015-04-19;1.18;1436.27;2015;Charlotte
2015-04-12;1.17;3396.22;2015;Charlotte
2015-04-05;1.19;1599.1;2015;Charlotte
2015-03-29;1.23;1004.93;2015;Charlotte
2015-03-22;1.19;2967.67;2015;Charlotte
2015-03-15;1.19;1442.08;2015;Charlotte
2015-03-08;1.25;1374.33;2015;Charlotte
2015-03-01;1.18;2851.75;2015;Charlotte
2015-02-22;1.08;2053.21;2015;Charlotte
2015-02-15;1.22;9128.47;2015;Charlotte
2015-02-08;1.17;9363.03;2015;Charlotte
2015-02-01;0.98;15620.29;2015;Charlotte
2015-01-25;1.18;12686.41;2015;Charlotte
2015-01-18;1.25;13058.35;2015;Charlotte
2015-01-11;1.26;10613.53;2015;Charlotte
2015-01-04;1.19;6468.53;2015;Charlotte
2015-12-27;0.93;1617.67;2015;Chicago
2015-12-20;0.91;9592.65;2015;Chicago
2015-12-13;1.07;5693.75;2015;Chicago
2015-12-06;1.14;420.95;2015;Chicago
2015-11-29;1.11;298.89;2015;Chicago
2015-11-22;0.94;294.44;2015;Chicago
2015-11-15;1.17;261.11;2015;Chicago
2015-11-08;1.01;324.38;2015;Chicago
2015-11-01;1;422.01;2015;Chicago
2015-10-25;1.12;323.33;2015;Chicago
2015-10-18;1.15;285.56;2015;Chicago
2015-10-11;1.08;528.99;2015;Chicago
2015-10-04;1.18;2240.14;2015;Chicago
2015-09-27;1.15;2923.19;2015;Chicago
2015-09-20;1.19;3316.58;2015;Chicago
2015-09-13;1.19;3809.54;2015;Chicago
2015-09-06;1.11;3289.62;2015;Chicago
2015-08-30;1.12;2205.32;2015;Chicago
2015-08-23;1.2;2759.79;2015;Chicago
2015-08-16;1.16;3447.81;2015;Chicago
2015-08-09;1.25;1904.8;2015;Chicago
2015-08-02;1.27;2476.3;2015;Chicago
2015-07-26;1.12;3516.34;2015;Chicago
2015-07-19;1.24;3531.27;2015;Chicago
2015-07-12;1.26;2536.23;2015;Chicago
2015-07-05;1.24;2236.49;2015;Chicago
2015-06-28;1.21;1896.33;2015;Chicago
2015-06-21;1.24;1658.76;2015;Chicago
2015-06-14;1.21;2618.95;2015;Chicago
2015-06-07;1.24;4693.09;2015;Chicago
2015-05-31;1.26;2299.08;2015;Chicago
2015-05-24;1.23;2639.11;2015;Chicago
2015-05-17;1.23;2813.47;2015;Chicago
2015-05-10;1.23;4468.25;2015;Chicago
2015-05-03;1.04;4414.64;2015;Chicago
2015-04-26;1.24;3573.83;2015;Chicago
2015-04-19;1.24;2780.32;2015;Chicago
2015-04-12;1.24;2475.13;2015;Chicago
2015-04-05;1.27;3422.83;2015;Chicago
2015-03-29;1.22;4163.46;2015;Chicago
2015-03-22;1.21;2925.41;2015;Chicago
2015-03-15;1.09;3914.88;2015;Chicago
2015-03-08;1.18;2234.66;2015;Chicago
2015-03-01;1.09;2289.01;2015;Chicago
2015-02-22;1.18;3976.51;2015;Chicago
2015-02-15;1.17;5112.69;2015;Chicago
2015-02-08;1.13;3273.2;2015;Chicago
2015-02-01;0.91;3448.62;2015;Chicago
2015-01-25;1.22;9265.81;2015;Chicago
2015-01-18;1.14;3311.71;2015;Chicago
2015-01-11;1.15;4539.25;2015;Chicago
2015-01-04;1.11;4651.02;2015;Chicago
2015-12-27;0.87;30968.06;2015;CincinnatiDayton
2015-12-20;0.85;39679.66;2015;CincinnatiDayton
2015-12-13;0.79;58783.54;2015;CincinnatiDayton
2015-12-06;0.83;42885.85;2015;CincinnatiDayton
2015-11-29;0.88;24850.38;2015;CincinnatiDayton
2015-11-22;0.89;31446.68;2015;CincinnatiDayton
2015-11-15;0.88;40083.17;2015;CincinnatiDayton
2015-11-08;0.87;42509.75;2015;CincinnatiDayton
2015-11-01;0.93;53584.84;2015;CincinnatiDayton
2015-10-25;1.01;45209.19;2015;CincinnatiDayton
2015-10-18;0.98;24553.19;2015;CincinnatiDayton
2015-10-11;0.91;31742.92;2015;CincinnatiDayton
2015-10-04;0.93;45980.45;2015;CincinnatiDayton
2015-09-27;1.08;34341.61;2015;CincinnatiDayton
2015-09-20;1.05;29601.09;2015;CincinnatiDayton
2015-09-13;1.05;34690.26;2015;CincinnatiDayton
2015-09-06;1.02;45312.94;2015;CincinnatiDayton
2015-08-30;1.01;42734.02;2015;CincinnatiDayton
2015-08-23;1.05;41548.22;2015;CincinnatiDayton
2015-08-16;1.01;41442.96;2015;CincinnatiDayton
2015-08-09;1.08;34194.18;2015;CincinnatiDayton
2015-08-02;1.09;33163.78;2015;CincinnatiDayton
2015-07-26;1.03;43020.67;2015;CincinnatiDayton
2015-07-19;1.06;33782.97;2015;CincinnatiDayton
2015-07-12;1.03;37926.4;2015;CincinnatiDayton
2015-07-05;1.03;43026.64;2015;CincinnatiDayton
2015-06-28;1.01;38098.48;2015;CincinnatiDayton
2015-06-21;1.02;37441.3;2015;CincinnatiDayton
2015-06-14;1.05;34920.23;2015;CincinnatiDayton
2015-06-07;1.07;36952.36;2015;CincinnatiDayton
2015-05-31;1.06;41425.81;2015;CincinnatiDayton
2015-05-24;1.1;30170.62;2015;CincinnatiDayton
2015-05-17;1.04;38536.09;2015;CincinnatiDayton
2015-05-10;1.06;50265.04;2015;CincinnatiDayton
2015-05-03;1.08;37361.33;2015;CincinnatiDayton
2015-04-26;1.06;37783.16;2015;CincinnatiDayton
2015-04-19;1.02;23101.71;2015;CincinnatiDayton
2015-04-12;1.02;17270.02;2015;CincinnatiDayton
2015-04-05;1.06;14361.02;2015;CincinnatiDayton
2015-03-29;0.95;23745.65;2015;CincinnatiDayton
2015-03-22;0.98;31773.08;2015;CincinnatiDayton
2015-03-15;0.94;37402.27;2015;CincinnatiDayton
2015-03-08;0.87;32786.33;2015;CincinnatiDayton
2015-03-01;0.89;28229.86;2015;CincinnatiDayton
2015-02-22;0.93;21703.66;2015;CincinnatiDayton
2015-02-15;0.94;17556.58;2015;CincinnatiDayton
2015-02-08;0.93;18571.14;2015;CincinnatiDayton
2015-02-01;0.86;31756.14;2015;CincinnatiDayton
2015-01-25;0.93;25970.02;2015;CincinnatiDayton
2015-01-18;0.93;18264.75;2015;CincinnatiDayton
2015-01-11;0.92;26345.43;2015;CincinnatiDayton
2015-01-04;0.88;37445.46;2015;CincinnatiDayton
2015-12-27;0.99;3874.64;2015;Columbus
2015-12-20;1.03;4248.29;2015;Columbus
2015-12-13;1.03;4307.42;2015;Columbus
2015-12-06;0.99;3866.86;2015;Columbus
2015-11-29;1.03;4115.58;2015;Columbus
2015-11-22;1.04;2827.12;2015;Columbus
2015-11-15;0.99;2618.43;2015;Columbus
2015-11-08;0.95;6935.32;2015;Columbus
2015-11-01;0.99;3691.47;2015;Columbus
2015-10-25;1.04;3925.91;2015;Columbus
2015-10-18;0.98;4384.37;2015;Columbus
2015-10-11;0.9;4765.93;2015;Columbus
2015-10-04;0.93;2202.87;2015;Columbus
2015-09-27;1.02;5538.06;2015;Columbus
2015-09-20;1;4671.88;2015;Columbus
2015-09-13;1.02;4201.55;2015;Columbus
2015-09-06;1.04;3611.52;2015;Columbus
2015-08-30;1.03;4937.44;2015;Columbus
2015-08-23;1.08;5010.51;2015;Columbus
2015-08-16;1.03;4314.54;2015;Columbus
2015-08-09;1;7460.64;2015;Columbus
2015-08-02;1.05;3281.88;2015;Columbus
2015-07-26;1.02;3986.29;2015;Columbus
2015-07-19;1.05;2442.62;2015;Columbus
2015-07-12;1.04;2366.05;2015;Columbus
2015-07-05;0.98;4244.24;2015;Columbus
2015-06-28;0.94;5683.66;2015;Columbus
2015-06-21;0.99;4739.34;2015;Columbus
2015-06-14;1.01;6030.43;2015;Columbus
2015-06-07;1.03;5888.63;2015;Columbus
2015-05-31;1.1;4733.2;2015;Columbus
2015-05-24;1.01;10832.31;2015;Columbus
2015-05-17;1;2463.86;2015;Columbus
2015-05-10;1.1;2796.71;2015;Columbus
2015-05-03;0.99;9726.39;2015;Columbus
2015-04-26;1.02;4959.65;2015;Columbus
2015-04-19;1;1861.68;2015;Columbus
2015-04-12;1.07;840.46;2015;Columbus
2015-04-05;1.09;642.52;2015;Columbus
2015-03-29;0.96;937.48;2015;Columbus
2015-03-22;0.94;2691.96;2015;Columbus
2015-03-15;1.01;3462.12;2015;Columbus
2015-03-08;0.95;5482.53;2015;Columbus
2015-03-01;1.03;1837.6;2015;Columbus
2015-02-22;1.09;2275.13;2015;Columbus
2015-02-15;1.05;1860.18;2015;Columbus
2015-02-08;0.96;1970.91;2015;Columbus
2015-02-01;0.87;3422.61;2015;Columbus
2015-01-25;1.08;2057.45;2015;Columbus
2015-01-18;1.02;2962.41;2015;Columbus
2015-01-11;0.97;2458.67;2015;Columbus
2015-01-04;0.89;2132.21;2015;Columbus
